sessionActivity,sessionNotes,HbO2,activity label,percentCycles: 0 to 200% (peak detection comparison percentage),minutelyAvgScore: (average percent cycle value in minute),timestampStart: unix,timestampStart: unix
meeting,,67,meeting,-165.3761234,84.94036198,1.57426E+12,1.57426E+12
,,127,meeting,88.84445024,85.21778584,,
,,181,meeting,73.43772862,83.50139856,,
,,230,meeting,98.56711916,90.73816538,,
,,274,meeting,78.91214478,88.5510087,,
,,314,meeting,81.32733967,83.49821568,,
,,349,meeting,84.28313484,77.70693898,,
,,380,meeting,76.70941412,75.07973313,,
,,409,meeting,84.91986388,78.264153,,
,,435,meeting,88.69273318,87.69019842,,
,,458,meeting,95.37424432,86.45120859,,
,,477,meeting,94.92341906,,,
,,495,meeting,86.39973147,,,
,,511,meeting,95.59067934,,,
,,525,meeting,77.04906202,,,
,,537,meeting,78.99606849,,,
,,549,meeting,68.04939675,,,
,,558,meeting,97.56127444,,,
,,567,meeting,85.86598119,,,
,,574,meeting,78.61120712,,,
,,582,meeting,98.28949093,,,
,,589,meeting,94.1016615,,,
,,595,meeting,89.99938581,,,
,,601,meeting,92.61104802,,,
,,606,meeting,78.37429906,,,
,,611,meeting,88.21730882,,,
,,615,meeting,97.07414792,,,
,,618,meeting,97.94286696,,,
,,621,meeting,77.08640402,,,
,,623,meeting,80.29045058,,,
,,581,meeting,66.10103167,,,
,,585,meeting,75.26191149,,,
,,590,meeting,93.03704469,,,
,,595,meeting,91.23486524,,,
,,598,meeting,95.06398887,,,
,,600,meeting,60.42730956,,,
,,601,meeting,85.51672215,,,
,,607,meeting,76.15640256,,,
,,613,meeting,92.91927159,,,
,,618,meeting,63.51454879,,,
,,621,meeting,87.7073801,,,
,,624,meeting,91.74902627,,,
,,627,meeting,81.27433414,,,
,,629,meeting,96.04971991,,,
,,631,meeting,64.11307355,,,
,,632,meeting,54.1137667,,,
,,633,meeting,63.17850555,,,
,,634,meeting,88.52731511,,,
,,636,meeting,80.39974029,,,
,,638,meeting,79.43353904,,,
,,640,meeting,76.13078719,,,
,,629,meeting,84.97506091,,,
,,629,meeting,60.1184591,,,
,,630,meeting,98.01875212,,,
,,632,meeting,94.77521844,,,
,,634,meeting,81.75202395,,,
,,636,meeting,90.20436039,,,
,,638,meeting,80.03543089,,,
,,639,meeting,81.35544008,,,
,,641,meeting,79.18280611,,,
,,643,meeting,95.26191277,,,
,,645,meeting,93.82551463,,,
,,647,meeting,65.24074162,,,
,,648,meeting,92.53223932,,,
,,649,meeting,92.66403073,,,
,,650,meeting,96.6585129,,,
,,651,meeting,,,,
,,638,meeting,,,,
,,617,meeting,,,,
,,619,meeting,,,,
,,622,meeting,,,,
,,625,meeting,,,,
,,627,meeting,,,,
,,629,meeting,,,,
,,631,meeting,,,,
,,633,meeting,,,,
,,635,meeting,,,,
,,637,meeting,,,,
,,638,meeting,,,,
,,640,meeting,,,,
,,641,meeting,,,,
,,643,meeting,,,,
,,645,meeting,,,,
,,646,meeting,,,,
,,649,meeting,,,,
,,652,meeting,,,,
,,653,meeting,,,,
,,654,meeting,,,,
,,656,meeting,,,,
,,658,meeting,,,,
,,654,meeting,,,,
,,656,meeting,,,,
,,657,meeting,,,,
,,658,meeting,,,,
,,659,meeting,,,,
,,660,meeting,,,,
,,661,meeting,,,,
,,661,meeting,,,,
,,600,meeting,,,,
,,601,meeting,,,,
,,604,meeting,,,,
,,607,meeting,,,,
,,609,meeting,,,,
,,609,meeting,,,,
,,611,meeting,,,,
,,614,meeting,,,,
,,618,meeting,,,,
,,622,meeting,,,,
,,626,meeting,,,,
,,631,meeting,,,,
,,635,meeting,,,,
,,638,meeting,,,,
,,640,meeting,,,,
,,642,meeting,,,,
,,644,meeting,,,,
,,646,meeting,,,,
,,649,meeting,,,,
,,652,meeting,,,,
,,654,meeting,,,,
,,655,meeting,,,,
,,656,meeting,,,,
,,657,meeting,,,,
,,659,meeting,,,,
,,649,meeting,,,,
,,641,meeting,,,,
,,643,meeting,,,,
,,647,meeting,,,,
,,650,meeting,,,,
,,652,meeting,,,,
,,654,meeting,,,,
,,655,meeting,,,,
,,657,meeting,,,,
,,658,meeting,,,,
,,659,meeting,,,,
,,660,meeting,,,,
,,662,meeting,,,,
,,663,meeting,,,,
,,642,meeting,,,,
,,644,meeting,,,,
,,646,meeting,,,,
,,648,meeting,,,,
,,650,meeting,,,,
,,651,meeting,,,,
,,654,meeting,,,,
,,656,meeting,,,,
,,657,meeting,,,,
,,659,meeting,,,,
,,661,meeting,,,,
,,663,meeting,,,,
,,655,meeting,,,,
,,656,meeting,,,,
,,658,meeting,,,,
,,659,meeting,,,,
,,660,meeting,,,,
,,661,meeting,,,,
,,662,meeting,,,,
,,662,meeting,,,,
,,662,meeting,,,,
,,652,meeting,,,,
,,653,meeting,,,,
,,654,meeting,,,,
,,654,meeting,,,,
,,654,meeting,,,,
,,655,meeting,,,,
,,656,meeting,,,,
,,656,meeting,,,,
,,656,meeting,,,,
,,657,meeting,,,,
,,658,meeting,,,,
,,659,meeting,,,,
,,659,meeting,,,,
,,659,meeting,,,,
,,660,meeting,,,,
,,661,meeting,,,,
,,662,meeting,,,,
,,662,meeting,,,,
,,651,meeting,,,,
,,654,meeting,,,,
,,655,meeting,,,,
,,657,meeting,,,,
,,659,meeting,,,,
,,661,meeting,,,,
,,663,meeting,,,,
,,664,meeting,,,,
,,665,meeting,,,,
,,665,meeting,,,,
,,666,meeting,,,,
,,669,meeting,,,,
,,656,meeting,,,,
,,646,meeting,,,,
,,651,meeting,,,,
,,654,meeting,,,,
,,658,meeting,,,,
,,660,meeting,,,,
,,663,meeting,,,,
,,666,meeting,,,,
,,668,meeting,,,,
,,671,meeting,,,,
,,671,meeting,,,,
,,671,meeting,,,,
,,672,meeting,,,,
,,673,meeting,,,,
,,662,meeting,,,,
,,663,meeting,,,,
,,664,meeting,,,,
,,665,meeting,,,,
,,659,meeting,,,,
,,608,meeting,,,,
,,615,meeting,,,,
,,621,meeting,,,,
,,626,meeting,,,,
,,629,meeting,,,,
,,633,meeting,,,,
,,637,meeting,,,,
,,641,meeting,,,,
,,644,meeting,,,,
,,647,meeting,,,,
,,650,meeting,,,,
,,653,meeting,,,,
,,656,meeting,,,,
,,657,meeting,,,,
,,658,meeting,,,,
,,661,meeting,,,,
,,662,meeting,,,,
,,664,meeting,,,,
,,665,meeting,,,,
,,667,meeting,,,,
,,668,meeting,,,,
,,670,meeting,,,,
,,671,meeting,,,,
,,672,meeting,,,,
,,672,meeting,,,,
,,677,meeting,,,,
,,678,meeting,,,,
,,625,meeting,,,,
,,625,meeting,,,,
,,619,meeting,,,,
,,620,meeting,,,,
,,621,meeting,,,,
,,621,meeting,,,,
,,621,meeting,,,,
,,621,meeting,,,,
,,622,meeting,,,,
,,624,meeting,,,,
,,625,meeting,,,,
,,627,meeting,,,,
,,630,meeting,,,,
,,632,meeting,,,,
,,634,meeting,,,,
,,636,meeting,,,,
,,639,meeting,,,,
,,641,meeting,,,,
,,642,meeting,,,,
,,632,meeting,,,,
,,635,meeting,,,,
,,636,meeting,,,,
,,636,meeting,,,,
,,637,meeting,,,,
,,639,meeting,,,,
,,640,meeting,,,,
,,641,meeting,,,,
,,641,meeting,,,,
,,642,meeting,,,,
,,642,meeting,,,,
,,643,meeting,,,,
,,643,meeting,,,,
,,644,meeting,,,,
,,645,meeting,,,,
,,646,meeting,,,,
,,647,meeting,,,,
,,648,meeting,,,,
,,649,meeting,,,,
,,649,meeting,,,,
,,650,meeting,,,,
,,631,meeting,,,,
,,633,meeting,,,,
,,635,meeting,,,,
,,637,meeting,,,,
,,639,meeting,,,,
,,641,meeting,,,,
,,642,meeting,,,,
,,644,meeting,,,,
,,645,meeting,,,,
,,647,meeting,,,,
,,637,meeting,,,,
,,610,meeting,,,,
,,612,meeting,,,,
,,616,meeting,,,,
,,619,meeting,,,,
,,622,meeting,,,,
,,626,meeting,,,,
,,630,meeting,,,,
,,634,meeting,,,,
,,637,meeting,,,,
,,637,meeting,,,,
,,640,meeting,,,,
,,643,meeting,,,,
,,645,meeting,,,,
,,646,meeting,,,,
,,647,meeting,,,,
,,649,meeting,,,,
,,651,meeting,,,,
,,652,meeting,,,,
,,652,meeting,,,,
,,653,meeting,,,,
,,655,meeting,,,,
,,657,meeting,,,,
,,658,meeting,,,,
,,658,meeting,,,,
,,645,meeting,,,,
,,637,meeting,,,,
,,638,meeting,,,,
,,639,meeting,,,,
,,641,meeting,,,,
,,642,meeting,,,,
,,642,meeting,,,,
,,644,meeting,,,,
,,645,meeting,,,,
,,645,meeting,,,,
,,611,meeting,,,,
,,611,meeting,,,,
,,612,meeting,,,,
,,591,meeting,,,,
,,592,meeting,,,,
,,594,meeting,,,,
,,596,meeting,,,,
,,599,meeting,,,,
,,603,meeting,,,,
,,605,meeting,,,,
,,608,meeting,,,,
,,611,meeting,,,,
,,614,meeting,,,,
,,615,meeting,,,,
,,617,meeting,,,,
,,619,meeting,,,,
,,622,meeting,,,,
,,624,meeting,,,,
,,626,meeting,,,,
,,627,meeting,,,,
,,627,meeting,,,,
,,629,meeting,,,,
,,631,meeting,,,,
,,633,meeting,,,,
,,634,meeting,,,,
,,636,meeting,,,,
,,638,meeting,,,,
,,639,meeting,,,,
,,640,meeting,,,,
,,641,meeting,,,,
,,641,meeting,,,,
,,642,meeting,,,,
,,644,meeting,,,,
,,645,meeting,,,,
,,647,meeting,,,,
,,648,meeting,,,,
,,649,meeting,,,,
