sessionActivity,sessionNotes,HbO2,activity label,percentCycles: 0 to 200% (peak detection comparison percentage),minutelyAvgScore: (average percent cycle value in minute),timestampStart: unix,timestampStart: unix
,,1182,thinking,,,,
,,1183,thinking,,,,
,,1172,thinking,,,,
,,1173,thinking,,,,
,,1174,thinking,,,,
,,1175,thinking,,,,
,,1176,thinking,,,,
,,1177,thinking,,,,
,,1178,thinking,,,,
,,1179,thinking,,,,
,,1180,thinking,,,,
,,1181,thinking,,,,
,,1177,thinking,,,,
,,1158,thinking,,,,
,,1161,thinking,,,,
,,1087,thinking,,,,
,,1091,thinking,,,,
,,1096,thinking,,,,
,,1100,thinking,,,,
,,1103,thinking,,,,
,,1106,thinking,,,,
,,1110,thinking,,,,
,,1113,thinking,,,,
,,1115,thinking,,,,
,,1117,thinking,,,,
,,1120,thinking,,,,
,,1123,thinking,,,,
,,1125,thinking,,,,
,,1126,thinking,,,,
,,1127,thinking,,,,
,,1129,thinking,,,,
,,1129,thinking,,,,
,,1129,thinking,,,,
,,1118,thinking,,,,
,,1120,thinking,,,,
,,1122,thinking,,,,
,,1123,thinking,,,,
,,1123,thinking,,,,
,,1124,thinking,,,,
,,1125,thinking,,,,
,,1114,thinking,,,,
,,1115,thinking,,,,
,,1116,thinking,,,,
,,1112,thinking,,,,
,,1113,thinking,,,,
,,1115,thinking,,,,
,,1117,thinking,,,,
,,1119,thinking,,,,
,,1120,thinking,,,,
,,1123,thinking,,,,
,,1115,thinking,,,,
,,1116,thinking,,,,
,,1117,thinking,,,,
,,1119,thinking,,,,
,,1121,thinking,,,,
,,1123,thinking,,,,
,,1125,thinking,,,,
,,1127,thinking,,,,
,,1130,thinking,,,,
,,1131,thinking,,,,
,,1133,thinking,,,,
,,1135,thinking,,,,
,,1138,thinking,,,,
,,1139,thinking,,,,
,,1139,thinking,,,,
,,1140,thinking,,,,
,,1130,thinking,,,,
,,1131,thinking,,,,
,,1132,thinking,,,,
,,1134,thinking,,,,
,,1134,thinking,,,,
,,1134,thinking,,,,
,,1134,thinking,,,,
,,1136,thinking,,,,
,,1137,thinking,,,,
