"sessionActivity","sessionNotes","HbO2","activity label","percentCycles: 0 to 200% (peak detection comparison percentage)","minutelyAvgScore: (average percent cycle value in minute)","flowScores: 10s cyclical buffer match closer to 0 closer match","timestampStart: unix","timestampStart: unix"
"","","608.0","writing","","","","",""
"","","615.0","writing","","","","",""
"","","616.0","writing","","","","",""
"","","621.0","writing","","","","",""
"","","606.0","writing","","","","",""
"","","596.0","writing","","","","",""
"","","584.0","writing","","","","",""
"","","587.0","writing","","","","",""
"","","574.0","writing","","","","",""
"","","579.0","writing","","","","",""
"","","585.0","writing","","","","",""
"","","577.0","writing","","","","",""
"","","590.0","writing","","","","",""
"","","573.0","writing","","","","",""
"","","567.0","writing","","","","",""
"","","611.0","writing","","","","",""
"","","568.0","writing","","","","",""
"","","638.0","writing","","","","",""
"","","575.0","writing","","","","",""
"","","582.0","writing","","","","",""
"","","565.0","writing","","","","",""
"","","577.0","writing","","","","",""
"","","577.0","writing","","","","",""
"","","577.0","writing","","","","",""
"","","573.0","writing","","","","",""
"","","585.0","writing","","","","",""
"","","603.0","writing","","","","",""
"","","601.0","writing","","","","",""
"","","618.0","writing","","","","",""
"","","616.0","writing","","","","",""
"","","627.0","writing","","","","",""
"","","627.0","writing","","","","",""
"","","596.0","writing","","","","",""
"","","603.0","writing","","","","",""
"","","564.0","writing","","","","",""
"","","556.0","writing","","","","",""
"","","585.0","writing","","","","",""
"","","560.0","writing","","","","",""
"","","544.0","writing","","","","",""
"","","539.0","writing","","","","",""
"","","530.0","writing","","","","",""
"","","543.0","writing","","","","",""
"","","546.0","writing","","","","",""
"","","574.0","writing","","","","",""
"","","555.0","writing","","","","",""
"","","558.0","writing","","","","",""
"","","584.0","writing","","","","",""
"","","619.0","writing","","","","",""
"","","567.0","writing","","","","",""
"","","566.0","writing","","","","",""
"","","576.0","writing","","","","",""
"","","582.0","writing","","","","",""
"","","583.0","writing","","","","",""
"","","581.0","writing","","","","",""
"","","599.0","writing","","","","",""
"","","587.0","writing","","","","",""
"","","606.0","writing","","","","",""
"","","586.0","writing","","","","",""
"","","599.0","writing","","","","",""
"","","599.0","writing","","","","",""
"","","594.0","writing","","","","",""
"","","594.0","writing","","","","",""
"","","587.0","writing","","","","",""
"","","602.0","writing","","","","",""
"","","589.0","writing","","","","",""
"","","600.0","writing","","","","",""
"","","595.0","writing","","","","",""
"","","587.0","writing","","","","",""
"","","582.0","writing","","","","",""
"","","591.0","writing","","","","",""
"","","595.0","writing","","","","",""
"","","581.0","writing","","","","",""
"","","557.0","writing","","","","",""
"","","580.0","writing","","","","",""
"","","586.0","writing","","","","",""
"","","611.0","writing","","","","",""
"","","589.0","writing","","","","",""
"","","553.0","writing","","","","",""
"","","567.0","writing","","","","",""
"","","561.0","writing","","","","",""
"","","589.0","writing","","","","",""
"","","577.0","writing","","","","",""
"","","571.0","writing","","","","",""
"","","566.0","writing","","","","",""
"","","605.0","writing","","","","",""
"","","611.0","writing","","","","",""
"","","598.0","writing","","","","",""
"","","589.0","writing","","","","",""
"","","585.0","writing","","","","",""
"","","541.0","writing","","","","",""
"","","572.0","writing","","","","",""
"","","578.0","writing","","","","",""
"","","580.0","writing","","","","",""
"","","587.0","writing","","","","",""
"","","568.0","writing","","","","",""
"","","581.0","writing","","","","",""
"","","579.0","writing","","","","",""
"","","596.0","writing","","","","",""
"","","609.0","writing","","","","",""
"","","572.0","writing","","","","",""
"","","596.0","writing","","","","",""
"","","601.0","writing","","","","",""
"","","610.0","writing","","","","",""
"","","585.0","writing","","","","",""
