sessionActivity,sessionNotes,HbO2,activity label,percentCycles: 0 to 200% (peak detection comparison percentage),timestampStart: unix,timestampStart: unix
,,945,thinking,,,
,,946,thinking,,,
,,947,thinking,,,
,,947,thinking,,,
,,948,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,931,thinking,,,
,,934,thinking,,,
,,936,thinking,,,
,,939,thinking,,,
,,941,thinking,,,
,,943,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
,,947,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,950,thinking,,,
,,952,thinking,,,
,,952,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,954,thinking,,,
,,955,thinking,,,
,,955,thinking,,,
,,956,thinking,,,
,,957,thinking,,,
,,949,thinking,,,
,,951,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,955,thinking,,,
,,956,thinking,,,
,,956,thinking,,,
,,958,thinking,,,
,,945,thinking,,,
,,947,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,955,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,955,thinking,,,
,,949,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,955,thinking,,,
,,955,thinking,,,
,,955,thinking,,,
,,955,thinking,,,
,,955,thinking,,,
,,947,thinking,,,
,,949,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,937,thinking,,,
,,939,thinking,,,
,,941,thinking,,,
,,943,thinking,,,
,,944,thinking,,,
,,944,thinking,,,
,,944,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
,,947,thinking,,,
,,947,thinking,,,
,,949,thinking,,,
,,939,thinking,,,
,,940,thinking,,,
,,940,thinking,,,
,,941,thinking,,,
,,942,thinking,,,
,,940,thinking,,,
,,941,thinking,,,
,,942,thinking,,,
,,943,thinking,,,
,,916,thinking,,,
,,919,thinking,,,
,,921,thinking,,,
,,922,thinking,,,
,,924,thinking,,,
,,927,thinking,,,
,,929,thinking,,,
,,930,thinking,,,
,,931,thinking,,,
,,933,thinking,,,
,,935,thinking,,,
,,937,thinking,,,
,,937,thinking,,,
,,939,thinking,,,
,,940,thinking,,,
,,927,thinking,,,
,,929,thinking,,,
,,931,thinking,,,
,,933,thinking,,,
,,934,thinking,,,
,,934,thinking,,,
,,935,thinking,,,
,,935,thinking,,,
,,929,thinking,,,
,,930,thinking,,,
,,931,thinking,,,
,,932,thinking,,,
,,922,thinking,,,
,,923,thinking,,,
,,925,thinking,,,
,,923,thinking,,,
,,924,thinking,,,
,,925,thinking,,,
,,926,thinking,,,
,,927,thinking,,,
,,925,thinking,,,
,,925,thinking,,,
,,921,thinking,,,
,,921,thinking,,,
,,921,thinking,,,
,,921,thinking,,,
,,921,thinking,,,
,,922,thinking,,,
,,923,thinking,,,
,,923,thinking,,,
,,894,thinking,,,
,,897,thinking,,,
,,900,thinking,,,
,,903,thinking,,,
,,906,thinking,,,
,,907,thinking,,,
,,909,thinking,,,
,,910,thinking,,,
,,912,thinking,,,
,,912,thinking,,,
,,913,thinking,,,
,,915,thinking,,,
,,916,thinking,,,
,,917,thinking,,,
,,902,thinking,,,
,,905,thinking,,,
,,908,thinking,,,
,,910,thinking,,,
,,911,thinking,,,
,,877,thinking,,,
,,882,thinking,,,
,,887,thinking,,,
,,890,thinking,,,
,,894,thinking,,,
,,899,thinking,,,
,,902,thinking,,,
,,904,thinking,,,
,,907,thinking,,,
,,911,thinking,,,
,,913,thinking,,,
,,915,thinking,,,
,,917,thinking,,,
,,919,thinking,,,
,,921,thinking,,,
,,923,thinking,,,
,,925,thinking,,,
,,926,thinking,,,
,,931,thinking,,,
,,932,thinking,,,
,,934,thinking,,,
,,935,thinking,,,
,,937,thinking,,,
,,938,thinking,,,
,,939,thinking,,,
,,941,thinking,,,
,,942,thinking,,,
,,942,thinking,,,
,,943,thinking,,,
,,944,thinking,,,
,,945,thinking,,,
,,935,thinking,,,
,,936,thinking,,,
,,938,thinking,,,
,,941,thinking,,,
,,943,thinking,,,
,,944,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,953,thinking,,,
,,954,thinking,,,
,,948,thinking,,,
,,946,thinking,,,
,,948,thinking,,,
,,951,thinking,,,
,,941,thinking,,,
,,943,thinking,,,
,,945,thinking,,,
,,948,thinking,,,
,,950,thinking,,,
,,952,thinking,,,
,,954,thinking,,,
,,955,thinking,,,
,,960,thinking,,,
,,958,thinking,,,
,,959,thinking,,,
,,959,thinking,,,
,,944,thinking,,,
,,946,thinking,,,
,,948,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,947,thinking,,,
,,948,thinking,,,
,,949,thinking,,,
,,930,thinking,,,
,,933,thinking,,,
,,936,thinking,,,
,,939,thinking,,,
,,940,thinking,,,
,,941,thinking,,,
,,943,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
,,927,thinking,,,
,,928,thinking,,,
,,931,thinking,,,
,,934,thinking,,,
,,935,thinking,,,
,,937,thinking,,,
,,939,thinking,,,
,,941,thinking,,,
,,943,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
,,947,thinking,,,
,,947,thinking,,,
,,947,thinking,,,
,,948,thinking,,,
,,950,thinking,,,
,,950,thinking,,,
,,950,thinking,,,
,,944,thinking,,,
,,947,thinking,,,
,,947,thinking,,,
,,943,thinking,,,
,,945,thinking,,,
,,947,thinking,,,
,,948,thinking,,,
,,946,thinking,,,
,,938,thinking,,,
,,941,thinking,,,
,,942,thinking,,,
,,943,thinking,,,
,,945,thinking,,,
,,946,thinking,,,
,,948,thinking,,,
,,950,thinking,,,
,,951,thinking,,,
,,951,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,956,thinking,,,
,,957,thinking,,,
,,958,thinking,,,
,,959,thinking,,,
,,960,thinking,,,
,,960,thinking,,,
,,952,thinking,,,
,,953,thinking,,,
,,955,thinking,,,
,,956,thinking,,,
,,939,thinking,,,
,,939,thinking,,,
,,941,thinking,,,
,,928,thinking,,,
,,759,thinking,,,
,,763,thinking,,,
,,768,thinking,,,
,,770,thinking,,,
,,773,thinking,,,
,,776,thinking,,,
,,780,thinking,,,
,,782,thinking,,,
,,793,thinking,,,
,,808,thinking,,,
,,820,thinking,,,
,,830,thinking,,,
,,837,thinking,,,
,,844,thinking,,,
,,849,thinking,,,
,,852,thinking,,,
,,854,thinking,,,
,,846,thinking,,,
,,848,thinking,,,
,,844,thinking,,,
,,844,thinking,,,
,,845,thinking,,,
,,830,thinking,,,
,,811,thinking,,,
,,812,thinking,,,
,,816,thinking,,,
,,818,thinking,,,
,,819,thinking,,,
,,821,thinking,,,
,,823,thinking,,,
,,826,thinking,,,
,,815,thinking,,,
,,816,thinking,,,
,,819,thinking,,,
,,822,thinking,,,
,,825,thinking,,,
,,827,thinking,,,
,,828,thinking,,,
,,830,thinking,,,
,,832,thinking,,,
,,834,thinking,,,
,,835,thinking,,,
,,837,thinking,,,
,,839,thinking,,,
,,841,thinking,,,
,,844,thinking,,,
,,846,thinking,,,
,,848,thinking,,,
,,848,thinking,,,
,,849,thinking,,,
,,850,thinking,,,
,,852,thinking,,,
,,854,thinking,,,
,,854,thinking,,,
,,854,thinking,,,
,,855,thinking,,,
,,856,thinking,,,
,,857,thinking,,,
,,858,thinking,,,
,,859,thinking,,,
,,860,thinking,,,
,,861,thinking,,,
,,861,thinking,,,
,,861,thinking,,,
,,857,thinking,,,
,,858,thinking,,,
,,858,thinking,,,
,,859,thinking,,,
,,861,thinking,,,
,,863,thinking,,,
,,864,thinking,,,
,,865,thinking,,,
,,867,thinking,,,
,,869,thinking,,,
,,870,thinking,,,
,,870,thinking,,,
,,872,thinking,,,
,,874,thinking,,,
,,875,thinking,,,
,,876,thinking,,,
,,878,thinking,,,
,,880,thinking,,,
,,882,thinking,,,
,,884,thinking,,,
,,887,thinking,,,
,,889,thinking,,,
,,891,thinking,,,
,,894,thinking,,,
,,896,thinking,,,
,,898,thinking,,,
,,900,thinking,,,
,,901,thinking,,,
,,903,thinking,,,
,,907,thinking,,,
,,909,thinking,,,
,,909,thinking,,,
,,912,thinking,,,
,,901,thinking,,,
,,904,thinking,,,
,,907,thinking,,,
,,909,thinking,,,
,,911,thinking,,,
,,913,thinking,,,
,,914,thinking,,,
,,915,thinking,,,
,,917,thinking,,,
,,919,thinking,,,
,,919,thinking,,,
,,920,thinking,,,
,,921,thinking,,,
,,921,thinking,,,
,,923,thinking,,,
,,924,thinking,,,
,,925,thinking,,,
,,926,thinking,,,
,,927,thinking,,,
,,914,thinking,,,
,,915,thinking,,,
,,916,thinking,,,
,,917,thinking,,,
,,918,thinking,,,
,,920,thinking,,,
,,921,thinking,,,
,,921,thinking,,,
,,906,thinking,,,
